tif_name,tif_year,start_year,end_year,tif_number,property_tax_extraction,cumulative_property_tax_extraction,transfers_in,cumulative_transfers_in,expenses,fund_balance_end,transfers_out,distribution,admin_costs,finance_costs,bank
105thVincennes,2016,2001,2025,111,768234,3759634,0,1613523,52056,1022197,0,0,14188,0,
107thHalsted,2016,2014,2038,176,441840,441840,1000000,1000000,8936,1411668,0,0,0,0,
111thKedzie,2016,1999,2022,73,559694,7326410,0,0,1758582,1761808,0,0,0,0,
119thHalsted,2016,2002,2026,114,1145160,8067713,0,97500,1657524,2807379,375000,0,18113,0,
119thI57,2016,2002,2026,125,2884860,21033267,0,950000,1615253,5984635,625000,0,64887,0,
126thTorrence,2016,1994,2017,10,1581369,10622701,0,0,825362,1551179,0,0,20603,0,
24thMichigan,2016,1999,2022,72,1680732,12914166,11310000,132551677,10687830,11885717,0,0,31866,0,
26thKing,2016,2006,2030,141,869070,5762256,0,0,574824,1192949,0,0,15770,0,
35thHalsted,2016,1997,2021,1,6493536,55905800,0,3243618,6783432,27305999,0,0,112828,0,
35thState,2016,2004,2026,131,1993201,13070816,0,3500000,1356286,1234839,0,1248000,39871,0,
35thWallace,2016,1999,2023,79,976723,7213911,0,0,28249,5642639,0,0,18274,0,
41stKing,2016,1994,2018,2,174717,2936750,0,0,66451,1229373,0,0,0,0,
43rdCottageGrove,2016,1998,2022,55,2817378,30481859,0,0,1974878,13821518,0,0,53584,0,
47thAshland,2016,2002,2026,117,2365895,29415900,175092,2431313,3272587,10677603,0,0,43979,0,
47thHalsted,2016,2002,2026,121,2867063,32597651,0,3950064,1145372,14598891,175092,2600000,52832,0,
47thKing,2016,2002,2026,118,6960378,78480680,0,0,18445813,21037610,0,0,134640,0,
47thState,2016,2004,2028,136,1259356,15642822,0,0,37021,11094071,0,0,25643,0,
49thStLawrence,2016,1996,2020,4,366813,5678838,0,0,682343,1214954,0,0,0,0,
51stArcher,2016,2000,2024,97,508925,7831957,5169673,28650738,3574856,8961002,0,0,0,3472762,"Amalgamated Bank of Chicago, Wells Fargo Bank, Zions Bank"
51stLakePark,2016,2012,2036,175,0,0,0,0,0,0,0,0,0,0,
53rd,2016,2001,2025,105,4106746,15761804,0,0,2507357,5754990,0,0,73010,0,
60thWestern,2016,1996,2019,5,200382,5379500,0,0,6092,1904468,0,16000,0,0,
63rdAshland,2016,2006,2030,143,887608,6028124,0,4100000,1831873,4347845,0,0,17031,0,
63rdPulaski,2016,2000,2024,98,1522973,25936124,0,0,121437,4423648,1893472,0,27380,0,
67thCicero,2016,2002,2026,124,341931,3193604,0,3284023,144355,1812191,0,0,0,0,
67thWentworth,2016,2011,2035,174,0,0,625000,625000,0,614406,0,0,0,0,
69thAshland,2016,2004,2016,138,493362,5068048,0,0,19319,553955,250000,1544000,14057,0,
71stStonyIsland,2016,1998,2021,60,2596970,39749360,5141826,46155773,7133431,15343929,0,0,49361,6820250,"Wells Fargo Bank, Zions Bank"
73rdUniversity,2016,2006,2030,145,308970,3865852,0,0,8213,976677,625000,931000,0,0,
79th,2016,1998,2021,56,777752,10493062,0,0,192751,5724725,0,182000,13071,0,
79thCicero,2016,2005,2029,140,733967,4331245,0,0,12638,884892,0,0,0,0,
79thSWHighway,2016,2001,2025,112,1228203,15463961,0,0,25650,9157430,0,283000,20855,0,
79thVincennes,2016,2007,2031,155,82613,2582819,0,0,7232,1680093,375000,154000,0,0,
83rdStewart,2016,2004,2028,133,1354864,6029309,0,0,922644,1416038,0,0,19129,0,
87thCottageGrove,2016,2002,2026,127,1422675,22117355,625000,625000,754714,3211092,1892612,0,24666,0,
95thWestern,2016,1995,2019,9,862540,12556892,0,1200000,211302,2422504,1700000,0,16094,0,
AddisonNorth,2016,1997,2016,11,1890776,21707185,0,0,43144,3435304,0,1500000,38140,0,
AddisonSouth,2016,2007,2031,150,3403878,20672739,0,0,927124,12263328,0,1379000,62141,0,
ArcherCentral,2016,2000,2024,99,197511,8469800,0,240000,586165,1770958,0,0,0,0,
ArcherCourts,2016,1999,2023,67,413060,4574079,0,2235487,108985,1529901,0,0,0,0,
ArcherWestern,2016,2009,2033,163,12747,1139565,0,0,2597,672319,0,0,0,0,
ArmitagePulaski,2016,2007,2031,151,50999,1631455,0,0,209997,829495,0,0,0,0,
AustinCommercial,2016,2007,2031,156,664662,8535895,235000,235000,205683,4504064,0,0,12484,0,
AvalonSouthShore,2016,2002,2026,123,233872,7060056,0,0,171493,2012077,0,0,0,0,
Avondale,2016,2009,2033,167,4669,515389,0,1000000,95428,711453,0,0,0,0,
BelmontCentral,2016,2000,2024,81,2490225,36452804,0,0,1270739,9947252,2262961,0,44551,0,
BelmontCicero,2016,2000,2024,82,831578,14746226,0,0,1152673,4681257,0,54000,15332,0,
Bronzeville,2016,1998,2022,61,3716425,48770327,0,2500000,5680105,14050241,0,0,65502,0,
BrynMawrBroadway,2016,1996,2019,13,1906066,23037999,0,4684947,544772,13903065,0,0,37289,0,
CalumetCermak,2016,1998,2021,59,16734552,138005568,0,28000000,234606,19878725,0,0,232017,0,
CalumetRiver,2016,2010,2016,168,0,0,0,0,0,0,0,0,0,0,
CanalCongress,2016,1998,2022,63,25715500,243579904,0,1091731,2318874,68714936,0,35000000,231559,0,
CentralWest,2016,2000,2024,86,20258781,172703975,0,70617714,9474206,67932470,0,0,393618,761313,"Wells Fargo Bank, Zions Bank"
ChicagoCentralPark,2016,2002,2026,115,5563243,63449858,9690189,75725475,17094739,38533516,0,0,106206,11758489,"Amaigamated Bank of Chicago, Wells Fargo Bank, Zions Bank"
ChicagoKingsbury,2016,2000,2024,94,24813487,188821904,0,0,1626591,67738444,0,40000000,497651,0,
ChicagoLakeside,2016,2010,2034,170,0,0,0,0,0,0,0,0,0,0,
CiceroArcher,2016,2000,2024,96,602973,9789306,0,0,2233761,5223486,0,81000,10680,0,
ClarkMontrose,2016,1999,2022,70,2966892,28080509,0,2000000,1332628,10173149,0,293000,53452,0,
ClarkRidge,2016,1999,2022,74,2001880,24558594,0,0,1490891,6907508,0,0,36218,0,
Commercial,2016,2002,2026,128,846981,17054353,0,0,495488,6666517,1750000,632000,15810,0,
DevonSheridan,2016,2004,2028,134,80180,4537351,0,3136000,1129139,3590278,0,0,0,0,
DevonWestern,2016,1999,2023,76,1792232,32069617,0,1250000,234530,0,1907049,0,34608,0,
DiverseyChicagoRiver,2016,2016,2040,179,0,0,0,0,0,0,0,0,0,0,
DiverseyNarragansett,2016,2003,2021,129,1959922,22991641,0,0,469365,3944901,0,0,37355,0,
DivisionHoman,2016,2001,2025,107,1040259,13932718,0,0,24461,6550637,2500000,0,19884,0,
Drexel,2016,2002,2026,122,365092,3289633,0,0,0,631583,0,0,0,0,
EdgewaterAshland,2016,2003,2027,130,501599,5619693,0,0,12589,2818157,0,0,0,0,
ElstonArmstrong,2016,2007,2031,153,283371,2760870,0,0,366440,790274,0,0,0,0,
EnglewoodMall,2016,1989,2025,21,614052,9133914,0,7500000,23606,2729170,0,0,0,0,
