tif_name,tif_year,start_year,end_year,tif_number,property_tax_extraction,cumulative_property_tax_extraction,transfers_in,cumulative_transfers_in,expenses,fund_balance_end,transfers_out,distribution,admin_costs,finance_costs,bank
105th/Vincennes ,2017,2001,2025,111,1190748,4950382,0,1613523,22261,2196176,0,0,19134,0,
107th/Halsted,2017,2014,2038,176,707201,1149041,0,1000000,55285,2081558,0,0,11270,0,
111th/Kedzie  ,2017,1999,2022,73,550035,7876445,0,0,370739,1428455,500000,34400,0,0,
119th/Halsted,2017,2002,2026,114,1176017,9243730,0,97500,413129,3540098,0,68100,21796,0,
119th/I-57,2017,2002,2026,125,4572379,25605646,0,950000,1980989,8425238,0,222700,63893,0,
126th/Torrence,2017,1994,2017,10,536090,11158791,400000,400000,2466515,0,34000,13029,17735,0,
24th/Michigan ,2017,1999,2022,72,1706116,14620282,4310000,136861677,5075582,12951133,0,0,28382,0,
26th/King,2017,2006,2030,141,834188,6596444,0,0,659176,1381160,0,0,13953,0,
35th/Halsted,2017,1997,2021,1,6976459,62882259,0,3243618,6037088,28296330,0,371200,117442,0,
35th/State,2017,2004,2028,131,2641807,15712623,0,3500000,1669534,2217603,0,0,42332,0,
35th/Wallace,2017,1999,2023,79,1016747,8230658,0,0,21017,6660370,,57800,15736,0,
41st/King,2017,1994,2018,2,189908,3126658,0,0,5910,1270446,0,161000,0,0,
43rd/Cottage Grove,2017,1998,2022,55,2822428,33304287,0,0,3376248,13299639,0,172300,48724,0,
47th/Ashland,2017,2002,2026,117,2227300,31643230,0,2431313,3367569,9831695,0,0,38973,1824902,Amalgamated  Bank
47th/Halsted,2017,2002,2026,121,2920143,35517794,0,3950064,2644702,12601035,2500000,0,49949,0,
47th/King,2017,2002,2026,118,6883489,85364169,0,0,5680645,21817862,300000,440000,115637,0,
47th/State,2017,2004,2028,136,1380662,17023484,0,0,30847,12410914,0,194000,22396,0,
49th/St. Lawrence,2017,1996,2020,4,387501,6066339,0,0,69104,1473187,0,80000,0,0,
51st/Archer,2017,2000,2024,97,749666,8581623,3003134,31653872,6102182,6832932,0,0,11568,5943323,"Zions Bank, Amalgamated Bank  "
51st/Lake Park,2017,2012,2036,175,194152,194152,0,0,4529,187824,0,0,0,0,
53rd Street,2017,2001,2025,105,3521069,19282873,0,0,3524904,5827922,0,0,67063,0,
60th/Western,2017,1996,2019,5,982094,982094,0,0,6092,1904468,0,16000,0,0,
63rd/Ashland,2017,2006,2030,143,913482,6941606,0,4100000,401800,4852058,0,70100,15529,0,
63rd/Pulaski,2017,2000,2024,98,1402877,27339601,0,0,81274,3976311,1846926,0,25595,0,
67th/Cicero,2017,2002,2026,124,35567,3229171,0,3284023,176571,1680684,0,15900,0,0,
67th/Wentworth,2017,2011,2035,174,0,0,0,625000,10325,624731,0,0,0,0,
71st/Stony Island,2017,1998,2021,60,2438760,42188120,5566982,51722755,8104646,15577837,0,0,42866,7854854,Zions Bank
73rd/University,2017,2006,2030,145,322434,4188286,0,0,17154,1272146,0,20900,0,0,
79th Street,2017,1998,2021,56,752624,11245686,0,0,178389,6331718,0,49000,13725,0,
79th/Cicero,2017,2005,2029,140,266413,4597658,0,0,455828,671922,0,31300,0,0,
79th/Southwest Highway,2017,2001,2025,112,1073599,16537560,0,0,891085,6940243,0,2544000,20413,0,
79th/Vincennes,2017,2007,2031,155,94910,2677729,0,0,5676,1787729,0,6000,0,0,
83rd/Stewart,2017,2004,2028,133,915655,6942964,0,0,967505,1371574,0,0,20844,0,
87th/Cottage Grove,2017,2002,2026,127,1553795,24271150,0,625000,626291,2319041,1892677,0,27781,0,
95th/Western,2017,1995,2019,9,732372,13289264,0,1200000,221331,1929251,1000000,51100,13985,0,
