tif_name,tif_year,tif_number,property_tax_extraction,cumulative_property_tax_extraction,transfers_in,cumulative_transfers_in,expenses,fund_balance_end,transfers_out,distribution,admin_costs,finance_costs,bank
24th/Michigan,2021,72,5417112.0,32844784.0,0.0,153861677.0,9901739.0,26031623.0,0.0,10563973.0,68793.0,0,
26th/King Drive,2021,141,973897.0,10163969.0,0.0,0.0,14268.0,4354155.0,0.0,0.0,0.0,0.0,
35th/State,2021,131,2742330.0,24482128.0,0.0,3500000.0,2266252.0,3628289.0,0.0,0.0,26693.0,0,
35th/Wallace,2021,79,1696617.0,13957715.0,0.0,4500000.0,454618.0,13916565.0,0.0,0.0,16175.0,0,
43rd/Cottage Grove ,2021,55,4668986.0,49001162.0,0.0,0.0,1991726.0,13990153.0,0.0,0.0,47251.0,0,
47th/Ashland,2021,117,3100766.0,42913933.0,0.0,2431313.0,2585005.0,9889434.0,0.0,0.0,33548.0,680810.0,Amalgamated Bank of Chicago
47th/Halsted,2021,121,3939031.0,49109562.0,0.0,3950064.0,1177635.0,18760533.0,0.0,0.0,40255.0,0,
47th/State,2021,136,2538949.0,24984893.0,0.0,0.0,441970.0,16963435.0,0.0,0.0,25527.0,0,
51st/Archer,2021,97,2363909.0,14768156.0,1656159.0,50019353.0,1058459.0,8119189.0,0.0,0.0,25578.0,309995.0,Amalgamated Bank of Chicago
51st/Lake Park,2021,175,1425853.0,5336808.0,0.0,0.0,1228326.0,1622339.0,0.0,0.0,15080.0,0,
53rd Street,2021,105,6690785.0,43096652.0,0.0,0.0,1247727.0,12411073.0,0.0,2027406.0,85318.0,0,
63rd/Ashland,2021,143,1003334.0,10729842.0,0.0,5400000.0,170684.0,5893494.0,0.0,0.0,10070.0,0,
47th/King Drive,2021,118,11625550.0,124047064.0,0.0,0.0,299110.0,47827856.0,0.0,0.0,140182.0,0,
63rd/Pulaski,2021,98,2340139.0,36131448.0,0.0,0.0,321832.0,5074715.0,1656159.0,0.0,24419.0,0,
35th/Halsted,2021,1,12726077.0,104836939.0,0.0,3243618.0,16458755.0,29461743.0,5770000.0,0.0,155915.0,0,
67th/Cicero,2021,124,673712.0,4819373.0,0.0,3284023.0,460720.0,1299193.0,0.0,14244.0,0,0,
67th/Wentworth,2021,174,0.0,0.0,0.0,1175000.0,10082.0,1057131.0,0.0,0.0,0,0,
73rd/University,2021,145,581411.0,6226470.0,0.0,0.0,434402.0,2196028.0,0.0,0.0,0.0,0.0,
71st/Stony Island,2021,60,4587897.0,56917601.0,0.0,65288397.0,2600797.0,10501703.0,0.0,0.0,46027.0,0,
79th/Cicero,2021,140,613291.0,7155535.0,0.0,0.0,584994.0,1034836.0,0.0,0.0,0,0,
79th/Southwest Highway,2021,112,1847884.0,23595443.0,0.0,0.0,147878.0,10245084.0,0.0,0.0,20655.0,0,
79th/Vincennes,2021,155,411243.0,3878187.0,0.0,1000000.0,71986.0,3964792.0,0.0,0.0,0,0,
83rd/Stewart,2021,133,1316653.0,12123451.0,0.0,0.0,1316505.0,1727723.0,0.0,0.0,10206.0,0,
95th/Western,2021,9,1805730.0,19022060.0,0.0,2400000.0,388707.0,3357367.0,0.0,0.0,0.0,0.0,
87th/Cottage Grove,2021,127,2654367.0,33155580.0,0.0,1375000.0,269119.0,9045831.0,0.0,0.0,25072.0,0,
105th/Vincennes,2021,111,1311739.0,8839356.0,0.0,2320284.0,55979.0,4778670.0,0.0,0.0,0.0,0.0,
107th/Halsted,2021,176,519754.0,2777495.0,0.0,1000000.0,244296.0,3409378.0,0.0,0.0,0,0,
79th Street Corridor,2021,56,1275909.0,15428717.0,0.0,0.0,340260.0,7694217.0,0.0,0.0,0.0,0.0,
116th/Avenue O,2021,182,595644.0,627093.0,4512000.0,4512000.0,4522554.0,609005.0,0.0,0.0,0.0,0.0,
111th/Kedzie,2021,73,957051.0,11408223.0,0.0,0.0,400454.0,2361159.0,0.0,0.0,0,0,
119th/Halsted,2021,114,1036352.0,13321360.0,0.0,97500.0,78499.0,6410447.0,0.0,0.0,0,0,
119th/I-57,2021,125,2951978.0,36996534.0,0.0,950000.0,1977787.0,9914123.0,0.0,0.0,29722.0,0,
Addison South,2021,150,6692920.0,46551947.0,0.0,0.0,844558.0,15058560.0,0.0,3527529.0,83605.0,0,
Archer/Central,2021,99,700160.0,11145738.0,0.0,240000.0,471534.0,3022600.0,0.0,1946.0,0.0,0.0,
Archer Courts,2021,67,492798.0,6820884.0,0.0,2235487.0,119191.0,2274455.0,0.0,317703.0,0,0,
Archer/Western,2021,163,1639714.0,4967770.0,5770000.0,7970000.0,2238530.0,6504343.0,0.0,0.0,16444.0,0,
Armitage/Pulaski,2021,151,198411.0,2492927.0,0.0,0.0,306834.0,1052453.0,0.0,0.0,0,0,
Austin Commercial,2021,156,1549122.0,14465405.0,3000000.0,3235000.0,2074015.0,8720794.0,0.0,0.0,15293.0,0,
Avalon Park/South Shore,2021,123,690603.0,9680844.0,0.0,0.0,307648.0,2988102.0,0.0,0.0,0,0,
Avondale,2021,167,205181.0,1163342.0,0.0,2900000.0,122353.0,1498131.0,0.0,0.0,0.0,0.0,
Belmont/Central,2021,81,5750797.0,61661815.0,0.0,938.0,1068022.0,27951248.0,0.0,0.0,72152.0,0,
Belmont/Cicero,2021,82,1341708.0,21156757.0,0.0,0.0,46749.0,7165222.0,0.0,58296.0,14054.0,0,
Bronzeville,2021,61,6126309.0,72695768.0,0.0,10400000.0,1891183.0,38792340.0,0.0,0.0,76097.0,0,
Bryn Mawr/Broadway,2021,13,3413223.0,36434537.0,15289335.0,45567202.0,15722021.0,5762375.0,0.0,3124244.0,33039.0,0,
Canal/Congress,2021,63,45858015.0,418847604.0,0.0,10966931.0,5700685.0,100704376.0,0.0,16287960.0,601265.0,0,
Central West,2021,86,34225840.0,311694510.0,0.0,70617714.0,3773420.0,70060520.0,0.0,15531407.0,429959.0,0,
Chicago/Central Park,2021,115,6863575.0,94197435.0,5036857.0,116980606.0,2594473.0,37667900.0,0.0,0.0,82442.0,2149276.0,Amalgamated Bank of Chicago
Chicago/Kingsbury,2021,94,37902378.0,342363963.0,0.0,0.0,480025.0,32625515.0,0.0,33845864.0,472423.0,0,
Clark/Montrose,2021,70,5100137.0,48557004.0,0.0,2000000.0,2934235.0,10469605.0,0.0,3258308.0,60413.0,0,
Clark/Ridge,2021,74,3842896.0,38638541.0,0.0,3000000.0,1261426.0,12483452.0,0.0,0.0,38118.0,0,
Cicero/Archer,2021,96,912715.0,13759841.0,0.0,0.0,201932.0,5249118.0,0.0,2093727.0,0.0,0.0,
Commercial Avenue,2021,128,2154787.0,24538035.0,0.0,0.0,477036.0,13210351.0,0.0,0.0,21891.0,0,
Cortland/Chicago River,2021,183,4124939.0,7764831.0,61312074.0,61412074.0,367340.0,68779527.0,0.0,0.0,0.0,0.0,
Devon/Sheridan,2021,134,1848000.0,11897085.0,1979212.0,7985709.0,3338746.0,4371914.0,0.0,0.0,18191.0,0,
Diversey/Chicago River ,2021,179,734754.0,1182792.0,0.0,526000.0,8972.0,1386434.0,0.0,0.0,0.0,0.0,
Devon/Western,2021,76,4271548.0,48287388.0,0.0,5140000.0,980058.0,5399956.0,3076677.0,0.0,43585.0,0,
Division/Homan,2021,107,2155873.0,22543417.0,0.0,0.0,2379229.0,9607274.0,0.0,82782.0,22449.0,0,
