tif_name,tif_year,start_year,end_year,tif_number,property_tax_extraction,cumulative_property_tax_extraction,transfers_in,cumulative_transfers_in,expenses,fund_balance_end,transfers_out,distribution,admin_costs,finance_costs,bank
105th/Vincennes,2014,2001,2025,111,133001,2342773,353381,1260142,451939,114502,0,0,0,0,
105th/Vincennes,2015,2001,2025,111,648627,2991400,353381,1613523,807700,310470,0,0,13249,0,
105th/Vincennes,2016,2001,2025,111,768234,3759634,0,1613523,52056,1022197,0,0,14188,0,
105th/Vincennes,2017,2001,2025,111,1190748,4950382,0,1613523,22261,2196176,0,0,19134,0,
105th/Vincennes,2018,2001,2025,111,1038646,5989028,706761,2320284,1426644,2524684,0,0,14568,0,
105th/Vincennes,2019,2001,2025,111,778591,6767619,0,2320284,768051,2672027,0,0,0,0,
105th/Vincennes,2020,2001,2025,111,759998,7527617,0,2320284,18832,3513385,0,0,0,0,
105th/Vincennes,2021,2001,2025,111,1311739,8839356,0,2320284,55979,4778670,0,0,0,0,
105th/Vincennes,2022,2001,2025,111,1383445,10222801,0,2320284,100389,5872394,0,0,16038,0,
107th/Halsted,2014,2014,2038,176,0,0,0,0,0,0,0,0,0,0,
107th/Halsted,2015,2014,2038,176,0,0,0,0,0,0,0,0,0,0,
107th/Halsted,2016,2014,2038,176,441840,441840,1000000,1000000,8936,1411668,0,0,0,0,
107th/Halsted,2017,2014,2038,176,707201,1149041,0,1000000,55285,2081558,0,0,11270,0,
107th/Halsted,2018,2014,2038,176,587691,1736732,0,1000000,167314,2508350,0,0,0,0,
107th/Halsted,2019,2014,2038,176,230920,1967652,0,1000000,57921,2810368,0,0,0,0,
107th/Halsted,2020,2014,2038,176,290089,2257741,0,1000000,62438,3130985,0,0,0,0,
107th/Halsted,2021,2014,2038,176,519754,2777495,0,1000000,244296,3409378,0,0,0,0,
107th/Halsted,2022,2014,2038,176,770768,3548263,0,1000000,373679,3687423,0,0,0,0,
111th/Kedzie,2014,1999,2022,73,525591,6284738,0,0,461267,3278114,0,0,10740,0,
111th/Kedzie,2015,1999,2022,73,481978,6766716,0,0,369488,3365118,0,26057,12807,0,
111th/Kedzie,2016,1999,2022,73,559694,7326410,0,0,1758582,1761808,0,0,0,0,
111th/Kedzie,2017,1999,2022,73,550035,7876445,0,0,370739,1428455,500000,34400,0,0,
111th/Kedzie,2018,1999,2022,73,940598,8817043,0,0,154364,1666772,500000,52400,11322,0,
111th/Kedzie,2019,1999,2022,73,716663,9533706,0,0,128284,1294921,1000000,0,0,0,
111th/Kedzie,2020,1999,2023,73,917466,10451172,0,0,455422,1801200,0,0,10212,0,
111th/Kedzie,2021,1999,2023,73,957051,11408223,0,0,400454,2361159,0,0,0,0,
111th/Kedzie,2022,1999,2023,73,983427,12391650,0,0,355542,2898399,0,0,12819,0,
116th/Avenue O,2018,2018,2042,182,0,0,0,0,0,0,0,0,0,0,
116th/Avenue O,2019,2018,2042,182,16016,16016,0,0,1576,14607,0,0,0,0,
116th/Avenue O,2020,2018,2042,182,15433,31449,0,0,6408,24375,0,0,0,0,
116th/Avenue O,2021,2018,2042,182,595644,627093,4512000,4512000,4522554,609005,0,0,0,0,
116th/Avenue O,2022,2018,2042,182,699213,1326306,0,4512000,16293,1223371,0,0,0,0,
119th/Halsted,2014,2002,2026,114,575934,6396437,97500,97500,75316,4124936,0,0,11562,0,
119th/Halsted,2015,2002,2026,114,526116,6922553,0,97500,765381,3682105,0,214822,12886,0,
119th/Halsted,2016,2002,2026,114,1145160,8067713,0,97500,1657524,2807379,375000,0,18113,0,
119th/Halsted,2017,2002,2026,114,1176017,9243730,0,97500,413129,3540098,0,68100,21796,0,
119th/Halsted,2018,2002,2026,114,1335553,10579283,0,97500,173525,4498791,0,210500,18644,0,
119th/Halsted,2019,2002,2026,114,778931,11358214,0,97500,823573,4687224,0,0,10093,0,
119th/Halsted,2020,2002,2026,114,926794,12285008,0,97500,327048,5445745,0,0,10244,0,
119th/Halsted,2021,2002,2026,114,1036352,13321360,0,97500,78499,6410447,0,0,0,0,
119th/Halsted,2022,2002,2026,114,829852,14151212,0,97500,145969,6169072,719405,0,11422,0,
119th/I-57,2014,2002,2026,125,2459698,15079910,0,950000,2973662,4895102,353381,0,49635,0,
119th/I-57,2015,2002,2026,125,3068497,18148407,0,950000,2204708,5350101,353381,68859,60686,0,
119th/I-57,2016,2002,2026,125,2884860,21033267,0,950000,1615253,5984635,625000,0,64887,0,
119th/I-57,2017,2002,2026,125,4572379,25605646,0,950000,1980989,8425238,0,222700,63893,0,
119th/I-57,2018,2002,2026,125,3349436,28955082,0,950000,2309480,7416429,1037876,1057800,56084,0,
119th/I-57,2019,2002,2026,125,2321737,31276819,0,950000,2292113,7811723,0,0,30585,0,
119th/I-57,2020,2002,2026,125,2767737,34044556,0,950000,1896763,8939348,0,0,30200,0,
119th/I-57,2021,2002,2026,125,2951978,36996534,0,950000,1977787,9914123,0,0,29722,0,
119th/I-57,2022,2002,2026,125,2563110,39559644,0,950000,2028975,10109689,0,0,35196,0,
126th/Torrence,2014,1994,2017,10,954516,8226585,0,0,1254049,918519,0,0,19570,0,
126th/Torrence,2015,1994,2017,10,814747,9041332,0,0,932742,802189,0,0,20014,0,
126th/Torrence,2016,1994,2017,10,1581369,10622701,0,0,825362,1551179,0,0,20603,0,
126th/Torrence,2017,1994,2017,10,536090,11158791,400000,400000,2466515,0,34000,13029,17735,0,
134th/Avenue K,2014,2008,2014,159,1785,28004,0,0,7446,14994,0,0,0,0,
24th/Michigan,2014,1999,2022,72,984113,9948909,23902753,104712753,53804217,14712197,4115000,0,20342,0,
24th/Michigan,2015,1999,2022,72,1284525,11233434,16528924,121241677,22901623,9643201,0,0,31762,0,
24th/Michigan,2016,1999,2022,72,1680732,12914166,11310000,132551677,10687830,11885717,0,0,31866,0,
24th/Michigan,2017,1999,2022,72,1706116,14620282,4310000,136861677,5075582,12951133,0,0,28382,0,
24th/Michigan,2018,1999,2022,72,3391228,18011510,0,136861677,887746,15544540,0,0,0,0,
24th/Michigan,2019,1999,2022,72,3944907,21956417,17000000,153861677,538021,37139951,0,0,45859,0,
24th/Michigan,2020,1999,2023,72,5471255,27427672,0,153861677,2759907,41255001,0,0,60598,0,
24th/Michigan,2021,1999,2023,72,5417112,32844784,0,153861677,9901739,26031623,0,10563973,68793,0,
24th/Michigan,2022,1999,2023,72,4781377,37626161,0,153861677,5121230,24854577,0,0,70874,0,
26th/King Drive,2014,2006,2030,141,641682,4254454,0,0,605122,883109,0,0,13498,0,
26th/King Drive,2015,2006,2030,141,638732,4893186,0,0,624876,898708,0,0,16032,0,
26th/King Drive,2016,2006,2030,141,869070,5762256,0,0,574824,1192949,0,0,15770,0,
26th/King Drive,2017,2006,2030,141,834188,6596444,0,0,659176,1381160,0,0,13953,0,
26th/King Drive,2018,2006,2030,141,806341,7402785,0,0,742264,1445743,0,0,12048,0,
26th/King Drive,2019,2006,2030,141,849312,8252097,0,0,13796,2364397,0,0,10599,0,
26th/King Drive,2020,2006,2030,141,937975,9190072,0,0,14383,3385517,0,0,10521,0,
26th/King Drive,2021,2006,2030,141,973897,10163969,0,0,14268,4354155,0,0,0,0,
26th/King Drive,2022,2006,2030,141,854812,11018781,0,0,17601,5031582,0,0,0,0,
35th/Halsted,2014,1997,2021,1,4540874,45126247,0,1743618,1948674,22985458,0,0,103592,0,
35th/Halsted,2015,1997,2021,1,4286017,49412264,1500000,3243618,1235022,27609821,0,0,105092,0,
35th/Halsted,2016,1997,2021,1,6493536,55905800,0,3243618,6783432,27305999,0,0,112828,0,
35th/Halsted,2017,1997,2021,1,6976459,62882259,0,3243618,6037088,28296330,0,371200,117442,0,
35th/Halsted,2018,1997,2021,1,8659118,71541377,0,3243618,1899028,28904728,0,6275200,114557,0,
35th/Halsted,2019,1997,2021,1,9723133,81264510,0,3243618,3718784,35054012,1400000,0,117931,0,
35th/Halsted,2020,1997,2021,1,10846352,92110862,0,3243618,2835033,38919509,5300000,0,133593,0,
35th/Halsted,2021,1997,2033,1,12726077,104836939,0,3243618,16458755,29461743,5770000,0,155915,0,
35th/Halsted,2022,1997,2033,1,16370579,121207518,0,3243618,7217766,30350502,0,7398400,193759,0,
