Name of Redevelopment Project Area,Date Designated,Date Terminated
105th/Vincennes,10/3/2001,12/31/2025
107th/Halsted,4/2/2014,12/31/2038
111th Street/Kedzie Avenue Business District,9/29/1999,9/29/2022
119th and Halsted,2/6/2002,12/31/2026
119th/I-57,11/6/2002,12/31/2026
126th and Torrence,12/21/1994,12/21/2017
24th/Michigan,7/21/1999,7/21/2022
26th and King Drive,1/11/2006,12/31/2030
35th and Wallace,12/15/1999,12/31/2023
35th/Halsted,11/14/1997,12/31/2021
35th/State,1/14/2004,12/31/2028
43rd/Cottage Grove,7/8/1998,12/31/2022
47th/Ashland,3/27/2002,12/31/2026
47th/Halsted,5/29/2002,12/31/2026
47th/King Drive,3/27/2002,12/31/2026
47th/State,7/21/2004,12/31/2028
49th Street/St. Lawrence Avenue,1/10/1996,12/31/2020
51st/Archer,5/17/2000,12/31/2024
51st/Lake Park,11/15/2012,12/31/2036
53rd Street,1/10/2001,12/31/2025
60th and Western,5/9/1996,5/9/2019
63rd/Ashland,3/29/2006,12/31/2030
63rd/Pulaski,5/17/2000,12/31/2024
67th/Cicero,10/2/2002,12/31/2026
67th/Wentworth,5/4/2011,12/31/2035
69th/Ashland,11/3/2004,12/31/2028
71st and Stony Island,10/7/1998,10/7/2021
73rd/University,9/13/2006,12/31/2030
79th Street Corridor,7/8/1998,7/8/2021
79th Street/Southwest Highway,10/3/2001,12/31/2025
79th/Cicero,6/8/2005,12/31/2029
79th/Vincennes,9/27/2007,12/31/2031
83rd/Stewart,3/31/2004,12/31/2028
87th/Cottage Grove,11/13/2002,12/31/2026
95th and Western,7/13/1995,12/31/2019
Addison Corridor North,6/4/1997,6/4/2020
Addison South,5/9/2007,12/31/2031
Archer Courts,5/12/1999,12/31/2023
Archer/Central,5/17/2000,12/31/2024
Archer/Western,2/11/2009,12/31/2033
Armitage/Pulaski,6/13/2007,12/31/2031
Austin Commercial,9/27/2007,12/31/2031
Avalon Park/South Shore,7/31/2002,12/31/2026
Avondale,7/29/2009,12/31/2033
Belmont/Central,1/12/2000,12/31/2024
Belmont/Cicero,1/12/2000,12/31/2024
Bronzeville,11/4/1998,12/31/2022
Bryn Mawr/Broadway,12/11/1996,12/11/2019
Calumet Avenue/Cermak Road,7/29/1998,7/29/2021
Calumet River,3/10/2010,12/31/2034
Canal/Congress,11/12/1998,12/31/2022
Central West,2/16/2000,12/31/2024
Chicago Lakeside Development,5/12/2010,12/31/2034
Chicago/Central Park,2/27/2002,12/31/2026
Chicago/Kingsbury,4/12/2000,12/31/2024
Cicero/Archer,5/17/2000,12/31/2024
Clark Street and Ridge Avenue,9/29/1999,9/29/2022
Clark/Montrose,7/7/1999,7/7/2022
Commercial Avenue,11/13/2002,12/31/2026
Devon/Sheridan,3/31/2004,12/31/2028
Devon/Western,11/3/1999,12/31/2023
Diversey/Narragansett,2/5/2003,12/31/2027
Division/Homan,6/27/2001,12/31/2025
Drexel Boulevard,7/10/2002,12/31/2026
Edgewater/Ashland,10/1/2003,12/31/2027
Elston/Armstrong Industrial Corridor,7/19/2007,12/31/2031
Englewood Mall,11/29/1989,12/31/2025
Englewood Neighborhood,6/27/2001,12/31/2025
Ewing Avenue,3/10/2010,12/31/2034
"Forty-first Street and Dr. Martin Luther King, Jr. Drive",7/13/1994,12/31/2018
Foster/California,4/2/2014,12/31/2038
Fulterton/Milwaukee,2/16/2000,12/31/2024
Galewood/Armitage Industrial,7/7/1999,12/31/2023
Goose Island,7/10/1996,7/10/2019
Greater Southwest Industrial Corridor (East),3/10/1999,12/31/2023
Greater Southwest industrial Corridor (West),4/12/2000,12/31/2024
Harlem Industrial Park Conservation Area,3/14/2007,12/31/2031
Harrison/Central,7/26/2006,12/31/2030
Hollywood/Sheridan,11/7/2007,12/31/2031
Homan-Arthington,2/5/1998,2/5/2021
Humboldt Park Commercial,6/27/2001,12/31/2025
Irving Park/Elston,5/13/2009,12/31/2033
irving/Cicero,6/10/1996,12/31/2020
Jefferson Park Business District,9/9/1998,9/9/2021
Jefferson/Roosevelt,8/30/2000,12/31/2024
Kennedy/Kimball,3/12/2008,12/31/2032
Kinzie Industrial Corridor,6/10/1998,12/31/2022
Lake Calumet Area Industrial,12/13/2000,12/31/2024
Lakefront,3/27/2002,12/31/2026
LaSalle Central,11/15/2006,12/31/2030
Lawrence/Broadway,6/27/2001,12/31/2025
Lawrence/Kedzie,2/16/2000,12/31/2024
Lawrence/Pulaski,2/27/2002,12/31/2026
Lincoln Avenue,11/3/1999,12/31/2023
Lincoln-Belmont-Ashland,11/2/1994,12/31/2018
Little Village East,4/22/2009,12/31/2033
Little Village Industrial Corridor,6/13/2007,12/31/2031
Madden/Wells,11/6/2002,12/31/2026
Madison/Austin Corridor,9/29/1999,12/31/2023
Michigan/Cermak,9/13/1989,12/31/2025
Midway Industrial Corridor,2/16/2000,12/31/2024
Midwest,5/17/2000,12/31/2036
Montclare,8/30/2000,12/31/2024
Montrose/Clarendon,6/30/2010,12/31/2034
Near North,7/30/1997,7/30/2020
North Branch (North),7/2/1997,12/31/2021
North Branch (South),2/5/1998,2/5/2021
North Pullman,6/30/2009,12/31/2033
North-Cicero,7/30/1997,7/30/2020
Northwest Industrial Corridor,12/2/1998,12/31/2022
Ogden/Pulaski,4/9/2008,12/31/2032
Ohio/Wabash,6/7/2000,12/31/2024
Pershing/King,9/5/2007,12/31/2031
Peterson/Cicero,2/16/2000,12/31/2024
Peterson/Pulaski,2/16/2000,12/31/2024
Pilsen Industrial Corridor,6/10/1998,12/31/2022
Portage Park,9/9/1998,9/9/2021
Pratt/Ridge Industrial Park Conservation Area,6/23/2004,12/31/2028
Pulaski Corridor,6/9/1999,12/31/2023
Randolph/Wells,6/9/2010,12/31/2034
Ravenswood Corridor,3/9/2005,12/31/2029
Read-Dunning,1/11/1991,12/31/2027
River South,7/30/1997,7/30/2020
River West,1/10/2001,12/31/2025
Roosevelt/Canal,3/19/1997,12/31/2015
Roosevelt/Cicero,2/5/1998,2/5/2021
Roosevelt/Racine,11/4/1998,12/31/2034
Roosevelt/Union,5/12/1999,5/12/2022
Roseland/Michigan,1/16/2002,12/31/2026
Sanitary Drainage and Ship Canal,7/24/1991,12/31/2027
South Chicago,4/12/2000,12/31/2024
South Works Industrial,11/3/1999,12/31/2023
Stevenson/Brighton,4/11/2007,12/31/2031
Stockyards Annex,12/11/1996,12/31/2020
Stockyards Southeast Quadrant industrial,2/26/1992,12/31/2016
Stony Island Avenue Commercial and Burnside Industrial Corridors,6/10/1998,12/31/2034
Touhy/Western,9/13/2006,12/31/2030
Washington Park,10/8/2014,12/31/2038
Weed/Fremont,1/8/2008,12/31/2032
West Irving Park,1/12/2000,12/31/2024
West Woodlawn,5/12/2010,12/31/2034
Western Avenue North,1/12/2000,12/31/2024
Western Avenue South,1/12/2000,12/31/2024
Western Avenue/Rock Island,2/8/2006,12/31/2030
Western/Ogden,2/5/1998,2/5/2021
Wilson Yard,6/27/2001,12/31/2025
Woodlawn,1/20/1999,1/20/2022
