NameofRedevelopmentProjectArea,DateDesignated,DateTerminated,YearDesignated,YearTerminated,,
105thVincennes,10/3/2001,12/31/2025,2001,2025,,
107thHalsted,4/2/2014,12/31/2038,2014,2038,,"IF(A2=B2,""true"",""FALSE"")"
111thKedzie,9/29/1999,9/29/2022,1999,2022,,
119thHalsted,2/6/2002,12/31/2026,2002,2026,,
119thI57,11/6/2002,12/31/2026,2002,2026,,
126thTorrence,12/21/1994,12/21/2017,1994,2017,,
24thMichigan,7/21/1999,7/21/2022,1999,2022,,
26thKing,1/11/2006,12/31/2030,2006,2030,,
35thHalsted,1/14/1997,12/31/2021,1997,2021,,
35thState,1/14/2004,12/31/2028,2004,2028,,
35thWallace,12/15/1999,12/31/2023,1999,2023,,
41stKing,7/13/1994,12/31/2018,1994,2018,,
43rdCottageGrove,7/8/1998,12/31/2022,1998,2022,,
47thAshland,3/27/2002,12/31/2026,2002,2026,,
47thHalsted,5/29/2002,12/31/2026,2002,2026,,
47thKing,3/27/2002,12/31/2026,2002,2026,,
47thState,7/21/2004,12/31/2028,2004,2028,,
49thStLawrence,1/10/1996,12/31/2020,1996,2020,,
51stArcher,5/17/2000,12/31/2024,2000,2024,,
51stLakePark,11/15/2012,12/31/2036,2012,2036,,
53rd,1/10/2001,12/31/2025,2001,2025,,
60thWestern,5/9/1996,5/9/2019,1996,2019,,
63rdAshland,3/29/2006,12/31/2030,2006,2030,,
63rdPulaski,5/17/2000,12/31/2024,2000,2024,,
67thCicero,10/2/2002,12/31/2026,2002,2026,,
67thWentworth,5/4/2011,12/31/2035,2011,2035,,
69thAshland,11/3/2004,12/31/2016,2004,2016,,
71stStonyIsland,10/7/1998,10/7/2021,1998,2021,,
73rdUniversity,9/13/2006,12/31/2030,2006,2030,,
79th,7/8/1998,7/8/2021,1998,2021,,
79thCicero,6/8/2005,12/31/2029,2005,2029,,
79thSWHighway,10/3/2001,12/31/2025,2001,2025,,
79thVincennes,9/27/2007,12/31/2031,2007,2031,,
83rdStewart,3/31/2004,12/31/2028,2004,2028,,
87thCottageGrove,11/13/2002,12/31/2026,2002,2026,,
95thWestern,7/13/1995,12/31/2019,1995,2019,,
AddisonNorth,6/4/1997,12/31/2016,1997,2016,,
AddisonSouth,5/9/2007,12/31/2031,2007,2031,,
ArcherCentral,5/17/2000,12/31/2024,2000,2024,,
ArcherCourts,5/12/1999,12/31/2023,1999,2023,,
ArcherWestern,2/11/2009,12/31/2033,2009,2033,,
ArmitagePulaski,6/13/2007,12/31/2031,2007,2031,,
AustinCommercial,9/27/2007,12/31/2031,2007,2031,,
AvalonSouthShore,7/31/2002,12/31/2026,2002,2026,,
Avondale,7/29/2009,12/31/2033,2009,2033,,
BelmontCentral,1/12/2000,12/31/2024,2000,2024,,
BelmontCicero,1/12/2000,12/31/2024,2000,2024,,
Bronzeville,11/4/1998,12/31/2022,1998,2022,,
BrynMawrBroadway,12/11/1996,12/11/2019,1996,2019,,
CalumetCermak,7/29/1998,7/29/2021,1998,2021,,
CalumetRiver,3/10/2010,12/31/2016,2010,2016,,
CanalCongress,11/12/1998,12/31/2022,1998,2022,,
CentralWest,2/16/2000,12/31/2024,2000,2024,,
ChicagoCentralPark,2/27/2002,12/31/2026,2002,2026,,
ChicagoKingsbury,4/12/2000,12/31/2024,2000,2024,,
ChicagoLakeside,5/12/2010,12/31/2034,2010,2034,,
CiceroArcher,5/17/2000,12/31/2024,2000,2024,,
ClarkMontrose,7/7/1999,7/7/2022,1999,2022,,
ClarkRidge,9/29/1999,9/29/2022,1999,2022,,
Commercial,11/13/2002,12/31/2026,2002,2026,,
DevonSheridan,3/31/2004,12/31/2028,2004,2028,,
DevonWestern,11/3/1999,12/31/2023,1999,2023,,
DiverseyChicagoRiver,10/5/2016,12/31/2040,2016,2040,,
DiverseyNarragansett,2/5/2003,12/31/2027,2003,2027,,
DivisionHoman,6/27/2001,12/31/2025,2001,2025,,
Drexel,7/10/2002,12/31/2026,2002,2026,,
EdgewaterAshland,10/1/2003,12/31/2027,2003,2027,,
ElstonArmstrong,7/19/2007,12/31/2031,2007,2031,,
EnglewoodMall,11/29/1989,12/31/2025,1989,2025,,
EnglewoodNeighborhood,6/27/2001,12/31/2025,2001,2025,,
Ewing,3/10/2010,12/31/2034,2010,2034,,
FosterCalifornia,4/2/2014,12/31/2038,2014,2038,,
FullertonMilwaukee,2/16/2000,12/31/2024,2000,2024,,
GalewoodArmitage,7/7/1999,12/31/2023,1999,2023,,
GooseIsland,7/10/1996,7/10/2019,1996,2019,,
GreaterSouthwestEast,3/10/1999,12/31/2023,1999,2023,,
GreaterSouthwestWest,4/12/2000,12/31/2024,2000,2024,,
Harlem,3/14/2007,12/31/2031,2007,2031,,
HarrisonCentral,7/26/2006,12/31/2030,2006,2030,,
HollywoodSheridan,11/7/2007,12/31/2031,2007,2031,,
HomanArthington,2/5/1998,2/5/2021,1998,2021,,
HumboldtPark,6/27/2001,12/31/2025,2001,2025,,
IrvingCicero,6/10/1996,12/31/2020,1996,2020,,
IrvingParkElston,5/13/2009,12/31/2033,2009,2033,,
JeffersonPark,9/9/1998,9/9/2021,1998,2021,,
JeffersonRoosevelt,8/30/2000,12/31/2024,2000,2024,,
KennedyKimball,3/12/2008,12/31/2032,2008,2032,,
Kinzie,6/10/1998,12/31/2022,1998,2022,,
LakeCalumet,12/13/2000,12/31/2024,2000,2024,,
Lakefront,3/27/2002,12/31/2026,2002,2026,,
LaSalleCentral,11/15/2006,12/31/2030,2006,2030,,
LawrenceBroadway,6/27/2001,12/31/2025,2001,2025,,
LawrenceKedzie,2/16/2000,12/31/2024,2000,2024,,
LawrencePulaski,2/27/2002,12/31/2026,2002,2026,,
LincolnAvenue,11/3/1999,12/31/2023,1999,2023,,
LincolnBelmontAshland,11/2/1994,12/31/2018,1994,2018,,
LittleVillage,6/13/2007,12/31/2031,2007,2031,,
LittleVillageEast,4/22/2009,12/31/2033,2009,2033,,
MaddenWells,1/16/2002,12/31/2026,2002,2026,,
MadisonAustin,9/29/1999,12/31/2023,1999,2023,,
MichiganCermak,9/13/1989,12/31/2025,1989,2025,,
Midway,2/16/2000,12/31/2024,2000,2024,,
Midwest,5/17/2000,12/31/2036,2000,2036,,
Montclare,8/30/2000,12/31/2024,2000,2024,,
MontroseClarendon,6/30/2010,12/31/2034,2010,2034,,
NearNorth,7/30/1997,7/30/2020,1997,2020,,
NorthBranchNorth,7/2/1997,12/31/2021,1997,2021,,
NorthBranchSouth,2/5/1998,2/5/2021,1998,2021,,
NorthCicero,7/30/1997,7/30/2020,1997,2020,,
NorthPullman,6/30/2009,12/31/2033,2009,2033,,
Northwest,12/2/1998,12/31/2022,1998,2022,,
OgdenPulaski,4/9/2008,12/31/2032,2008,2032,,
OhioWabash,6/7/2000,12/31/2024,2000,2024,,
PershingKing,9/5/2007,12/31/2031,2007,2031,,
PetersonCicero,2/16/2000,12/31/2024,2000,2024,,
PetersonPulaski,2/16/2000,12/31/2024,2000,2024,,
Pilsen,6/10/1998,12/31/2022,1998,2022,,
PortagePark,9/9/1998,9/9/2021,1998,2021,,
PrattRidge,6/23/2004,12/31/2028,2004,2028,,
Pulaski,6/9/1999,12/31/2023,1999,2023,,
RandolphWells,6/9/2010,12/31/2034,2010,2034,,
Ravenswood,3/9/2005,12/31/2029,2005,2029,,
ReadDunning,1/11/1991,12/31/2027,1991,2027,,
RiverSouth,7/30/1997,7/30/2020,1997,2020,,
RiverWest,1/10/2001,12/31/2025,2001,2025,,
RooseveltCicero,2/5/1998,2/5/2021,1998,2021,,
RooseveltRacine,11/4/1998,12/31/2034,1998,2034,,
RooseveltUnion,5/12/1999,5/12/2022,1999,2022,,
RoselandMichigan,1/16/2002,12/31/2026,2002,2026,,
RPMPhaseOneProject,11/30/2016,12/31/2052,2016,2052,,
