,Name of Redevelopment Project Area,Date Designated MM/DD/YYYY,Date Terminated MM/DD/YYYY
0,105th/Vincennes,10/3/2001,12/31/2025
1,107th/Halsted,4/2/2014,12/31/2038
2,111th/Kedzie,9/29/1999,12/31/2023
3,116th/Avenue O,10/31/2018,12/31/2042
4,119th/Halsted,2/6/2002,12/31/2026
5,119th/I-57,11/6/2002,12/31/2026
6,24th/Michigan,7/21/1999,12/31/2023
7,26th/King Drive,1/11/2006,12/31/2030
8,35th/Halsted,1/14/1997,12/31/2021
9,35th/State,1/14/2004,12/31/2028
10,35th/Wallace,12/15/1999,12/31/2023
11,43rd/Cottage Grove,7/8/1998,12/31/2022
12,47th/Ashland,3/27/2002,12/31/2026
13,47th/Halsted,5/29/2002,12/31/2026
14,47th/King Drive,3/27/2002,12/31/2026
15,47th/State,7/21/2004,12/31/2028
16,49th/St. Lawrence,1/10/1996,12/31/2020
17,51st/Archer,5/17/2000,12/31/2024
18,51st/Lake Park,11/15/2012,12/31/2036
19,53rd Street,1/10/2001,12/31/2025
20,60th/Western,5/9/1996,12/31/2020
21,63rd/Ashland,3/29/2006,12/31/2030
22,63rd/Pulaski,5/17/2000,12/31/2024
23,67th/Cicero,10/2/2002,12/31/2026
24,67th/Wentworth,5/4/2011,12/31/2035
25,71st/Stony Island,10/7/1998,12/31/2022
26,73rd/University,9/13/2006,12/31/2030
27,79th Street Corridor,7/8/1998,12/31/2022
28,79th/Cicero,6/8/2005,12/31/2029
29,79th/Southwest Highway,10/3/2001,12/31/2025
30,79th/Vincennes,9/27/2007,12/31/2031
31,83rd/Stewart,3/31/2004,12/31/2028
32,87th/Cottage Grove,11/13/2002,12/31/2026
33,95th/Western,7/13/1995,12/31/2031
34,Addison South,5/9/2007,12/31/2031
35,Archer Courts,5/12/1999,12/31/2023
36,Archer/Central,5/17/2000,12/31/2024
37,Archer/Western,2/11/2009,12/31/2033
38,Armitage/Pulaski,6/13/2007,12/31/2031
39,Austin Commercial,9/27/2007,12/31/2031
40,Avalon Park/South Shore,7/31/2002,12/31/2026
41,Avondale,7/29/2009,12/31/2033
42,Belmont/Central,1/12/2000,12/31/2024
43,Belmont/Cicero,1/12/2000,12/31/2024
44,Bronzeville,11/4/1998,12/31/2022
45,Bryn Mawr/Broadway,12/11/1996,12/31/2032
46,Canal/Congress,11/12/1998,12/31/2022
47,Central West,2/16/2000,12/31/2024
48,Chicago/Central Park,2/27/2002,12/31/2026
49,Chicago/Kingsbury,4/12/2000,12/31/2024
50,Cicero/Archer,5/17/2000,12/31/2024
51,Clark/Montrose,7/7/1999,12/31/2023
52,Clark/Ridge,9/29/1999,12/31/2023
53,Commercial Avenue,11/13/2002,12/31/2026
54,Cortland/Chicago River,4/10/2019,12/31/2043
55,Devon/Sheridan,3/31/2004,12/31/2028
