Name of Redevelopment Project Area,Date Designated  MM/DD/YYYY,Date Terminated  MM/DD/YYYY
105th/Vincennes,10/3/2001,12/31/2025
107th/Halsted,4/2/2014,12/31/2038
111th/Kedzie,9/29/1999,12/31/2023
116th/Avenue O,10/31/2018,12/31/2042
119th/Halsted,2/6/2002,12/31/2026
119th/I-57,11/6/2002,12/31/2026
24th/Michigan,7/21/1999,12/31/2023
26th/King Drive,1/11/2006,12/31/2030
35th/Halsted,1/14/1997,12/31/2033
35th/State,1/14/2004,12/31/2028
35th/Wallace,12/15/1999,12/31/2023
43rd/Cottage Grove,7/8/1998,12/31/2034
47th/Ashland,3/27/2002,12/31/2026
47th/Halsted,5/29/2002,12/31/2026
47th/King Drive,3/27/2002,12/31/2026
47th/State,7/21/2004,12/31/2028
51st/Archer,5/17/2000,12/31/2024
51st/Lake Park,11/15/2012,12/31/2036
53rd Street,1/10/2001,12/31/2025
63rd/Ashland,3/29/2006,12/31/2030
63rd/Pulaski,5/17/2000,12/31/2024
67th/Cicero,10/2/2002,12/31/2026
67th/Wentworth,5/4/2011,12/31/2035
71st/Stony Island,10/7/1998,12/31/2034
73rd/University,9/13/2006,12/31/2030
79th Street Corridor,7/8/1998,12/31/2034
79th/Cicero,6/8/2005,12/31/2029
79th/Southwest Highway,10/3/2001,12/31/2025
79th/Vincennes,9/27/2007,12/31/2031
83rd/Stewart,3/31/2004,12/31/2028
87th/Cottage Grove,11/13/2002,12/31/2026
95th/Western,7/13/1995,12/31/2031
Addison South,5/9/2007,12/31/2031
Archer Courts,5/12/1999,12/31/2022
Archer/Central,5/17/2000,12/31/2024
Archer/Western,2/11/2009,12/31/2033
Armitage/Pulaski,6/13/2007,12/31/2031
Austin Commercial,9/27/2007,12/31/2031
Avalon Park/South Shore,7/31/2002,12/31/2026
Avondale,7/29/2009,12/31/2033
Belmont/Central,1/12/2000,12/31/2024
Belmont/Cicero,1/12/2000,12/31/2024
Bronzeville,11/4/1998,12/31/2034
Bryn Mawr/Broadway,12/11/1996,12/31/2032
Canal/Congress,11/12/1998,12/31/2034
Central West,2/16/2000,12/31/2024
Chicago/Central Park,2/27/2002,12/31/2026
Chicago/Kingsbury,4/12/2000,12/31/2024
Cicero/Archer,5/17/2000,12/31/2024
Cicero/Stevenson,7/20/2022,12/31/2046
Clark/Montrose,7/7/1999,12/31/2023
Clark/Ridge,9/29/1999,12/31/2023
Commercial Avenue,11/13/2002,12/31/2026
Cortland/Chicago River,4/10/2019,12/31/2043
Devon/Sheridan,3/31/2004,12/31/2028
Devon/Western,11/3/1999,12/31/2023
Diversey/Chicago River,10/5/2016,12/31/2040
Diversey/Narragansett,2/5/2003,12/31/2027
Division/Homan,6/27/2001,12/31/2025
Edgewater/Ashland,10/1/2003,12/31/2027
Elston/Armstrong Industrial Corridor,7/19/2007,12/31/2031
Englewood Mall,11/29/1989,12/31/2025
Englewood Neighborhood,6/27/2001,12/31/2025
Ewing Avenue,3/10/2010,12/31/2034
Foster/California,4/2/2014,12/31/2038
Foster/Edens,2/28/2018,12/31/2042
Fullerton/Milwaukee,2/16/2000,12/31/2024
Galewood/Armitage Industrial,7/7/1999,12/31/2023
Goose Island,7/10/1996,12/31/2032
Greater Southwest Industrial (East),3/10/1999,12/31/2023
Greater Southwest Industrial (West),4/12/2000,12/31/2024
Harrison/Central,7/26/2006,12/31/2030
Hollywood/Sheridan,11/7/2007,12/31/2031
Homan/Arthington,2/5/1998,12/31/2034
Humboldt Park Commercial,6/27/2001,12/31/2025
Jefferson Park,9/9/1998,12/31/2022
Jefferson/Roosevelt,8/30/2000,12/31/2024
Kennedy/Kimball,3/12/2008,12/31/2032
Kinzie Industrial Corridor,6/10/1998,12/31/2034
Lake Calumet Area Industrial,12/13/2000,12/31/2024
Lakefront,3/27/2002,12/31/2026
LaSalle Central,11/15/2006,12/31/2030
Lawrence/Broadway,6/27/2001,12/31/2025
Lawrence/Kedzie,2/16/2000,12/31/2024
Lawrence/Pulaski,2/27/2002,12/31/2026
Lincoln Avenue,11/3/1999,12/31/2023
Little Village East,4/22/2009,12/31/2033
Little Village Industrial Corridor,6/13/2007,12/31/2031
Madden/Wells,11/6/2002,12/31/2026
Madison/Austin Corridor,9/29/1999,12/31/2023
Michigan/Cermak,9/13/1989,12/31/2025
Midway Industrial Corridor,2/16/2000,12/31/2024
Midwest,5/17/2000,12/31/2036
Montclare,8/30/2000,12/31/2022
Montrose/Clarendon,6/30/2010,12/31/2034
Near North,7/30/1997,12/31/2033
North Branch South,2/5/1998,12/31/2022
North Pullman,6/30/2009,12/31/2033
Northwest Industrial Corridor,12/2/1998,12/31/2034
Ogden/Pulaski,4/9/2008,12/31/2032
Ohio/Wabash,6/7/2000,12/31/2024
Peterson/Cicero,2/16/2000,12/31/2022
Peterson/Pulaski,2/16/2000,12/31/2024
Pilsen Industrial Corridor,6/10/1998,12/31/2034
Portage Park,9/9/1998,12/31/2022
Pratt/Ridge Industrial Park Conservation Area,6/23/2004,12/31/2028
Pulaski Industrial Corridor,6/9/1999,12/31/2035
Randolph/Wells,6/9/2010,12/31/2034
Red Line Extension,12/14/2022,12/31/2058
Red Purple Modernization Phase One (Transit TIF),11/30/2016,12/31/2052
River West,1/10/2001,12/31/2025
Roosevelt/Cicero Industrial Corridor,2/5/1998,12/31/2034
Roosevelt/Clark,4/10/2019,12/31/2043
Roosevelt/Racine,11/4/1998,12/31/2034
Roosevelt/Union,5/12/1999,12/31/2022
Roseland/Michigan,1/16/2002,12/31/2026
Sanitary and Ship Canal,7/24/1991,12/31/2027
South Chicago,4/12/2000,12/31/2024
Stevenson Brighton,4/11/2007,12/31/2031
Stockyards Southeast Quadrant Industrial,2/26/1992,12/31/2028
Stony Island Commercial/Burnside Industrial,6/10/1998,12/31/2034
Touhy/Western,9/13/2006,12/31/2030
Washington Park,10/8/2014,12/31/2038
West Irving Park,1/12/2000,12/31/2024
West Woodlawn,5/12/2010,12/31/2034
Western Avenue North,1/12/2000,12/31/2024
Western Avenue South,1/12/2000,12/31/2024
Western/Ogden,2/5/1998,12/31/2034
Western/Rock Island,2/8/2006,12/31/2030
Wilson Yard,6/27/2001,12/31/2025
Woodlawn,1/20/1999,12/31/2023
