tif_name,field,first_bad_year,reported_cumulative,expected_cumulative,discrep_amount,prev_year,prev_reported_cumulative,yearly_value,,Resolution
51st/Archer,cumulative_property_tax_extraction,2018," $9,367,592.00 "," $9,367,591.00 ",1,2017,8581623,785968,,"TIF Report is inaccurate, preserve value as it reflects the report"
51st/Archer,cumulative_transfers_in,2018," $45,607,888.00 "," $45,607,889.00 ",-1,2017,31653872,13954017,,"TIF Report is inaccurate, preserve value as it reflects the report"
63rd/Pulaski,cumulative_property_tax_extraction,2016," $25,936,124.00 "," $25,936,724.00 ",-600,2015,24413751,1522973,,"Bad parse, corrected data"
87th/Cottage Grove,cumulative_property_tax_extraction,2016," $22,117,355.00 "," $22,717,355.00 ",-600000,2015,21294680,1422675,,"Bad parse, corrected data"
Avondale,cumulative_transfers_in,2011," $1,000,000.00 "," $4,000,000.00 ",-3000000,2010,4000000,0,,"Bad parse on 2010, corrected data"
Canal/Congress,cumulative_transfers_in,2011," $4,091,731.00 "," $1,091,731.00 ",3000000,2010,1091731,0,,"Bad parse, corrected data"
Clark/Ridge,cumulative_property_tax_extraction,2011," $45,482,620.00 "," $15,482,620.00 ",30000000,2010,12812791,2669829,,"Bad parse, corrected data"
Fullerton/Milwaukee,cumulative_property_tax_extraction,2013," $57,623,150.00 "," $57,998,874.00 ",-375724,2012,52623150,5375724,,"TIF Report is inaccurate, cum_prop is the same for 2012 and 2013, so 2013 and on is ALL incorrect, preserve value as it reflects the report"
Lawrence/Kedzie,cumulative_property_tax_extraction,2013," $67,816,620.00 "," $67,582,927.00 ",233693,2012,61816620,5766307,,"TIF Report is inaccurate, preserve value as it reflects the report"
Near West,cumulative_property_tax_extraction,2013," $122,364,090.00 "," $137,172,253.00 ",-14808163,2012,126431506,10740747,,"TIF Report is inaccurate, preserve value as it reflects the report"
North/Cicero,cumulative_property_tax_extraction,2016," $16,038,445.00 "," $16,038,245.00 ",200,2015,14561617,1476628,,"TIF Report is inaccurate, preserve value as it reflects the report"
Pershing/King,cumulative_property_tax_extraction,2014," $445,762.00 "," $449,448.00 ",-3686,2013,447605,1843,,"Bad parse, corrected data"
Pulaski Industrial Corridor,cumulative_property_tax_extraction,2011," $25,556,541.00 "," $25,934,091.00 ",-377550,2010,22556541,3377550,,"TIF Report is inaccurate, preserve value as it reflects the report"
Read/Dunning,cumulative_transfers_in,2012," $1,814,000.00 "," $1,811,000.00 ",3000,2011,1811000,0,,"Bad parse, corrected data"
Sanitary and Ship Canal,cumulative_property_tax_extraction,2016," $14,592,128.00 "," $14,592,728.00 ",-600,2015,14108562,484166,,"Bad parse, corrected data"
Stockyards Annex,cumulative_property_tax_extraction,2012," $19,368,474.00 "," $22,368,474.00 ",-3000000,2011,18148688,4219786,,"Bad parse, corrected data"
