tif_name,years,discrepancy_field,status
134th/Avenue K,2012,property_tax_extraction,"Accurate, value is 0"
47th/Halsted,2012,fund_balance_end,"Inaccurate, updated"
67th/Wentworth,2024,property_tax_extraction,"Accurate, value is 0"
Bryn Mawr/Broadway,2012,fund_balance_end,"Inaccurate, updated"
Clark/Montrose,2012,fund_balance_end,"Inaccurate, updated"
Devon/Sheridan,2013,fund_balance_end,"Inaccurate, updated"
Devon/Western,2016,fund_balance_end,"Inaccurate, updated"
Foster/California,2023,property_tax_extraction,"Accurate, value is 0"
Greater Southwest Industrial (East),2012,fund_balance_end,"Inaccurate, updated"
Greater Southwest Industrial (East),2012,property_tax_extraction,"Inaccurate, updated"
Harlem Industrial Park Conservation Area,"2018, 2019",property_tax_extraction,"Accurate, value is 0"
LaSalle Central,2012,property_tax_extraction,"Accurate, value is 0"
Little Village East,2019,property_tax_extraction,"Accurate, value is 0"
Little Village Industrial Corridor,2019,property_tax_extraction,"Accurate, value is 0"
Michigan/Cermak,2012,fund_balance_end,"Inaccurate, updated"
Michigan/Cermak,2012,property_tax_extraction,"Inaccurate, updated"
Pershing/King,"2016, 2017, 2018",property_tax_extraction,"Accurate, value is 0"
Pratt/Ridge Industrial Park Conservation Area,2014,property_tax_extraction,"Accurate, value is 0"
Read/Dunning,2012,property_tax_extraction,"Inaccurate, updated"
Roosevelt/Homan,2012,property_tax_extraction,"Inaccurate, updated"
South Works Industrial,"2018, 2019",property_tax_extraction,"Accurate, value is 0"
West Pullman,"2012, 2013, 2014",property_tax_extraction,"Accurate, value is 0"
,,,
