tif_name,years,status
134th/Avenue K,2012,"Accurate, value is 0"
67th/Wentworth,2024,"Accurate, value is 0"
Commercial Avenue,2013,"Inaccurate, updated master"
Division/North Branch,2011,"Inaccurate, updated master"
Foster/California,2023,"Accurate, value is 0"
Greater Southwest Industrial (East),2012,
Harlem Industrial Park Conservation Area,"2018, 2019",
LaSalle Central,2012,
Little Village East,2019,
Little Village Industrial Corridor,2019,
Michigan/Cermak,2012,
Pershing/King,"2016, 2017, 2018",
Pratt/Ridge Industrial Park Conservation Area,2014,
Read/Dunning,2012,
Roosevelt/Homan,2012,
South Works Industrial,"2018, 2019",
West Pullman,"2012, 2013, 2014",
