tif_name,tif_year,start_year,end_year,tif_number,property_tax_extraction,cumulative_property_tax_extraction,transfers_in,cumulative_transfers_in,expenses,fund_balance_end,transfers_out,distribution,admin_costs,finance_costs,bank
24th/Michigan,2025,1999,2035,72,5039886,55332035,0,153861677,7758977,19266427,0.0,8340620,88185.0,0,
26th/King Drive,2025,2006,2030,141,843085,13828173,0,0,19247,8526878,0.0,0,12993.0,0,
35th/Halsted,2025,1997,2033,1,16559470,178597138,0,3243618,5118748,47599567,7240000.0,4162894,295005.0,0,
35th/State,2025,2004,2028,131,2620870,35138965,0,9500000,1117889,9031420,0.0,0,41065.0,0,
43rd/Cottage Grove,2025,1998,2034,55,6354024,71225280,20000000,20000000,321300,40662465,0.0,8968256,87915.0,0,
47th/Ashland,2025,2002,2026,117,4918206,59756245,1000000,12097980,7828924,18156723,0.0,0,55664.0,1946175.34,Amalgamated Bank
47th/Halsted,2025,2002,2026,121,5282400,66748503,0,3950064,2019467,21235575,1000000.0,0,73761.0,0,
47th/King Drive,2025,2002,2026,118,17612643,180120456,0,0,10258462,58447740,25000000.0,0,225995.0,0,
47th/State,2025,2004,2028,136,2773625,35798638,5000000,5000000,213033,29416292,0.0,0,33888.0,0,
51st/Lake Park,2025,2012,2036,175,1218365,10301056,0,0,1257241,1705490,0.0,0,18527.0,0,
53rd Street,2025,2001,2025,105,4003502,68075626,0,0,11695985,0,0.0,18953261,95313.0,0,
63rd/Ashland,2025,2006,2030,143,1762855,13856532,0,5400000,2115386,5332244,0.0,0,0,0,
63rd/Pulaski,2025,2000,2036,98,2549981,46788106,0,0,1989136,11802333,0.0,164098,39766.0,0,
67th/Cicero,2025,2002,2026,124,146888,6314618,0,3284023,11621,1800596,0.0,0,0.0,0.0,
67th/Wentworth,2025,2011,2035,174,2081513,2083980,1000000,3775000,146367,5562407,0.0,0,0,0,
71st/Stony Island,2025,1998,2034,60,5345532,75975701,0,67288397,2996914,10324444,13800000.0,305601,70232.0,0,
73rd/University,2025,2006,2030,145,536999,6938661,0,0,126214,2547621,0.0,0,0,0,
79th Street Corridor,2025,1998,2034,56,1469174,21142534,9000000,14500000,12873934,4934447,0.0,0,18797.0,0,
79th/Cicero,2025,2005,2029,140,506521,9555004,0,0,623804,1097034,0.0,0,0,0,
79th/Southwest Highway,2025,2001,2025,112,1970285,34074551,0,0,1021562,0,8500000.0,7085315,36919.0,0,
79th/Vincennes,2025,2007,2031,155,943022,5517035,0,1000000,39970,3864695,500000.0,0,0,0,
