tif_name,tif_year,start_year,end_year,tif_number,property_tax_extraction,cumulative_property_tax_extraction,transfers_in,cumulative_transfers_in,expenses,fund_balance_end,transfers_out,distribution,admin_costs,finance_costs,bank
105th/Vincennes,2010,2001,2025,111,"321,582","1,210,213",0,0,"17,286","1,150,733",0,0,0,0,
105th/Vincennes,2011,2001,2025,111,"342,130","1,552,343",0,0,"6,866","1,489,234",0,0,0,0,
105th/Vincennes,2012,2001,2025,111,"352,585","1,904,928","553,381","553,381","2,197,841","181,644",0,"18,000",0,0,
105th/Vincennes,2013,2001,2025,111,"304,844","2,209,772","353,380","906,761","761,108","79,281",0,0,0,0,
105th/Vincennes,2014,2001,2025,111,"133,001","2,342,773","353,381","1,260,142","451,939","114,502",0,0,0,0,
105th/Vincennes,2015,2001,2025,111,"648,627","2,991,400","353,381","1,613,523","807,700","310,470",0,0,"13,249",0,
105th/Vincennes,2016,2001,2025,111,"768,234","3,759,634",0,"1,613,523","52,056","1,022,197",0,0,"14,188",0,
105th/Vincennes,2017,2001,2025,111,"1,190,748","4,950,382",0,"1,613,523","22,261","2,196,176",0,0,"19,134",0,
105th/Vincennes,2018,2001,2025,111,"1,038,646","5,989,028","706,761","2,320,284","1,426,644","2,524,684",0,0,"14,568",0,
105th/Vincennes,2019,2001,2025,111,"778,591","6,767,619",0,"2,320,284","768,051","2,672,027",0,0,0,0,
105th/Vincennes,2020,2001,2025,111,"759,998","7,527,617",0,"2,320,284","18,832","3,513,385",0,0,0,0,
105th/Vincennes,2021,2001,2025,111,"1,311,739","8,839,356",0,"2,320,284","55,979","4,778,670",0,0,0,0,
105th/Vincennes,2022,2001,2025,111,"1,383,445","10,222,801",0,"2,320,284","100,389","5,872,394",0,0,"16,038",0,
105th/Vincennes,2023,2001,2025,111,"1,759,177","11,981,978",0,"2,320,284","36,825","7,802,646",0,0,"19,330",0,
105th/Vincennes,2024,2001,2025,111,"2,162,655","14,144,633",0,"2,320,284","41,816","10,010,135",0,0,"23,426",0,
107th/Halsted,2014,2014,2038,176,0,0,0,0,0,0,0,0,0,0,
107th/Halsted,2015,2014,2038,176,0,0,0,0,0,0,0,0,0,0,
107th/Halsted,2016,2014,2038,176,"441,840","441,840","1,000,000","1,000,000","8,936","1,411,668",0,0,0,0,
107th/Halsted,2017,2014,2038,176,"707,201","1,149,041",0,"1,000,000","55,285","2,081,558",0,0,"11,270",0,
107th/Halsted,2018,2014,2038,176,"587,691","1,736,732",0,"1,000,000","167,314","2,508,350",0,0,0,0,
107th/Halsted,2019,2014,2038,176,"230,920","1,967,652",0,"1,000,000","57,921","2,810,368",0,0,0,0,
107th/Halsted,2020,2014,2038,176,"290,089","2,257,741",0,"1,000,000","62,438","3,130,985",0,0,0,0,
107th/Halsted,2021,2014,2038,176,"519,754","2,777,495",0,"1,000,000","244,296","3,409,378",0,0,0,0,
107th/Halsted,2022,2014,2038,176,"770,768","3,548,263",0,"1,000,000","373,679","3,687,423",0,0,0,0,
107th/Halsted,2023,2014,2038,176,"790,424","4,338,687",0,"1,000,000","646,255","3,991,888",0,0,0,0,
107th/Halsted,2024,2014,2038,176,"680,312","5,018,999",0,"1,000,000","20,775","4,713,747",0,0,0,0,
111th/Kedzie,2010,1999,2022,73,"656,446","3,755,728",0,0,"913,058","2,092,629",0,0,"11,449",0,
111th/Kedzie,2011,1999,2022,73,"785,613","4,541,341",0,0,"217,324","2,666,952",0,0,0,0,
111th/Kedzie,2012,1999,2022,73,"705,857","5,247,198",0,0,"236,611","3,012,177",0,"131,000","11,919",0,
111th/Kedzie,2013,1999,2022,73,"511,949","5,759,147",0,0,"326,267","3,203,993",0,0,"10,313",0,
111th/Kedzie,2014,1999,2022,73,"525,591","6,284,738",0,0,"461,267","3,278,114",0,0,"10,740",0,
111th/Kedzie,2015,1999,2022,73,"481,978","6,766,716",0,0,"369,488","3,365,118",0,"26,057","12,807",0,
111th/Kedzie,2016,1999,2022,73,"559,694","7,326,410",0,0,"1,758,582","1,761,808",0,0,0,0,
111th/Kedzie,2017,1999,2022,73,"550,035","7,876,445",0,0,"370,739","1,428,455","500,000","34,400",0,0,
111th/Kedzie,2018,1999,2022,73,"940,598","8,817,043",0,0,"154,364","1,666,772","500,000","52,400","11,322",0,
111th/Kedzie,2019,1999,2022,73,"716,663","9,533,706",0,0,"128,284","1,294,921","1,000,000",0,0,0,
111th/Kedzie,2020,1999,2023,73,"917,466","10,451,172",0,0,"455,422","1,801,200",0,0,"10,212",0,
111th/Kedzie,2021,1999,2023,73,"957,051","11,408,223",0,0,"400,454","2,361,159",0,0,0,0,
111th/Kedzie,2022,1999,2023,73,"983,427","12,391,650",0,0,"355,542","2,898,399",0,0,"12,819",0,
111th/Kedzie,2023,1999,2035,73,"1,348,735","13,740,385",0,0,"927,976","3,424,272",0,0,"12,657",0,
111th/Kedzie,2024,1999,2035,73,"1,217,573","14,957,958",0,0,"1,024,372","3,517,438",0,"190,287","12,973",0,
116th/Avenue O,2018,2018,2042,182,0,0,0,0,0,0,0,0,0,0,
116th/Avenue O,2019,2018,2042,182,"16,016","16,016",0,0,"1,576","14,607",0,0,0,0,
116th/Avenue O,2020,2018,2042,182,"15,433","31,449",0,0,"6,408","24,375",0,0,0,0,
116th/Avenue O,2021,2018,2042,182,"595,644","627,093","4,512,000","4,512,000","4,522,554","609,005",0,0,0,0,
116th/Avenue O,2022,2018,2042,182,"699,213","1,326,306",0,"4,512,000","16,293","1,223,371",0,0,0,0,
116th/Avenue O,2023,2018,2042,182,"1,505,790","2,832,096",0,"4,512,000","15,272","2,741,876",0,0,"10,934",0,
116th/Avenue O,2024,2018,2042,182,"1,714,241","4,546,337","5,088,000","9,600,000","1,432,417","7,895,606",0,0,"22,751",0,
119th/Halsted,2010,2002,2026,114,"1,054,003","3,948,203",0,0,"318,885","3,512,960",0,0,"14,730","191,608",Local Initiatives Support Corporation
119th/Halsted,2011,2002,2026,114,"823,604","4,771,807",0,0,"671,524","3,674,791",0,0,"10,870","205,733",Local Initiatives Support Corporation
119th/Halsted,2012,2002,2026,114,"478,354","5,250,161",0,0,"677,586","3,463,124",0,"21,000",0,"193,046",Local Initiatives Support Corporation
119th/Halsted,2013,2002,2026,114,"570,342","5,820,503",0,0,"244,845","3,515,651","280,500",0,"10,211","79,263",Local Initiatives Support Corporation
119th/Halsted,2014,2002,2026,114,"575,934","6,396,437","97,500","97,500","75,316","4,124,936",0,0,"11,562",0,
119th/Halsted,2015,2002,2026,114,"526,116","6,922,553",0,"97,500","765,381","3,682,105",0,"214,822","12,886",0,
119th/Halsted,2016,2002,2026,114,"1,145,160","8,067,713",0,"97,500","1,657,524","2,807,379","375,000",0,"18,113",0,
119th/Halsted,2017,2002,2026,114,"1,176,017","9,243,730",0,"97,500","413,129","3,540,098",0,"68,100","21,796",0,
119th/Halsted,2018,2002,2026,114,"1,335,553","10,579,283",0,"97,500","173,525","4,498,791",0,"210,500","18,644",0,
119th/Halsted,2019,2002,2026,114,"778,931","11,358,214",0,"97,500","823,573","4,687,224",0,0,"10,093",0,
119th/Halsted,2020,2002,2026,114,"926,794","12,285,008",0,"97,500","327,048","5,445,745",0,0,"10,244",0,
119th/Halsted,2021,2002,2026,114,"1,036,352","13,321,360",0,"97,500","78,499","6,410,447",0,0,0,0,
119th/Halsted,2022,2002,2026,114,"829,852","14,151,212",0,"97,500","145,969","6,169,072","719,405",0,"11,422",0,
119th/Halsted,2023,2002,2026,114,"840,086","14,991,298",0,"97,500","391,307","6,884,699",0,0,0,0,
119th/Halsted,2024,2002,2026,114,"1,169,232","16,160,530",0,"97,500","1,992,791","6,202,584",0,0,"12,237",0,
119th/I-57,2010,2002,2026,125,"1,755,486","5,704,141",0,0,"1,211,584","3,440,293",0,0,"30,028","200,750",Local Initiatives Support Corporation
119th/I-57,2011,2002,2026,125,"2,554,300","8,258,441",0,0,"486,487","5,518,764",0,0,"22,607","214,875",Local Initiatives Support Corporation
119th/I-57,2012,2002,2026,125,"2,520,330","10,778,771",0,0,"497,667","6,773,745","553,381","229,000","42,947","202,188",Local Initiatives Support Corporation
119th/I-57,2013,2002,2026,125,"1,841,441","12,620,212","950,000","950,000","3,479,094","5,745,995","353,380",0,"41,545","214,500",Local Initiatives Support Corporation
119th/I-57,2014,2002,2026,125,"2,459,698","15,079,910",0,"950,000","2,973,662","4,895,102","353,381",0,"49,635",0,
119th/I-57,2015,2002,2026,125,"3,068,497","18,148,407",0,"950,000","2,204,708","5,350,101","353,381","68,859","60,686",0,
119th/I-57,2016,2002,2026,125,"2,884,860","21,033,267",0,"950,000","1,615,253","5,984,635","625,000",0,"64,887",0,
119th/I-57,2017,2002,2026,125,"4,572,379","25,605,646",0,"950,000","1,980,989","8,425,238",0,"222,700","63,893",0,
119th/I-57,2018,2002,2026,125,"3,349,436","28,955,082",0,"950,000","2,309,480","7,416,429","1,037,876","1,057,800","56,084",0,
119th/I-57,2019,2002,2026,125,"2,321,737","31,276,819",0,"950,000","2,292,113","7,811,723",0,0,"30,585",0,
119th/I-57,2020,2002,2026,125,"2,767,737","34,044,556",0,"950,000","1,896,763","8,939,348",0,0,"30,200",0,
119th/I-57,2021,2002,2026,125,"2,951,978","36,996,534",0,"950,000","1,977,787","9,914,123",0,0,"29,722",0,
119th/I-57,2022,2002,2026,125,"2,563,110","39,559,644",0,"950,000","2,028,975","10,109,689",0,0,"35,196",0,
119th/I-57,2023,2002,2026,125,"2,859,655","42,419,299",0,"950,000","2,644,040","10,773,335",0,0,"21,712",0,
119th/I-57,2024,2002,2026,125,"2,981,970","45,401,269",0,"950,000","1,978,063","11,933,591",0,0,"37,635",0,
126th/Torrence,2010,1994,2017,10,"714,902","4,940,449",0,0,"1,271,785","526,198",0,0,0,0,
126th/Torrence,2011,1994,2017,10,"762,889","5,703,338",0,0,"13,801","1,277,733",0,0,"10,337",0,
126th/Torrence,2012,1994,2017,10,"668,885","6,372,223",0,0,"592,822","1,357,049",0,0,"13,354",0,
126th/Torrence,2013,1994,2017,10,"899,846","7,272,069",0,0,"1,045,263","1,215,193",0,0,0,0,
126th/Torrence,2014,1994,2017,10,"954,516","8,226,585",0,0,"1,254,049","918,519",0,0,"19,570",0,
126th/Torrence,2015,1994,2017,10,"814,747","9,041,332",0,0,"932,742","802,189",0,0,"20,014",0,
126th/Torrence,2016,1994,2017,10,"1,581,369","10,622,701",0,0,"825,362","1,551,179",0,0,"20,603",0,
126th/Torrence,2017,1994,2017,10,"536,090","11,158,791","400,000","400,000","2,466,515",0,"34,000","13,029","17,735",0,
134th/Avenue K,2010,2008,2032,159,"2,931","2,931",0,0,384,"2,547",0,0,0,0,
134th/Avenue K,2011,2008,2032,159,"22,588","25,519",0,0,515,"22,188",0,0,0,0,
134th/Avenue K,2012,2008,2032,159,0,"25,519",0,0,"1,183","21,060",0,0,0,0,
134th/Avenue K,2013,2008,2032,159,700,"26,219",0,0,"1,210","20,593",0,0,0,0,
134th/Avenue K,2014,2008,2014,159,"1,785","28,004",0,0,"7,446","14,994",0,0,0,0,
24th/Michigan,2010,1999,2022,72,"1,333,433","5,400,697","4,310,000","28,380,000","4,548,394","3,508,750",0,0,"22,351",0,
24th/Michigan,2011,1999,2022,72,"1,331,578","6,732,275","4,310,000","32,690,000","4,858,893","4,312,727",0,0,"15,239",0,
24th/Michigan,2012,1999,2022,72,"1,157,490","7,889,765","4,310,000","37,000,000","4,585,553","5,217,029",0,0,"20,026",0,
24th/Michigan,2013,1999,2022,72,"1,075,031","8,964,796","43,810,000","80,810,000","2,521,259","47,636,376",0,0,"19,300",0,
24th/Michigan,2014,1999,2022,72,"984,113","9,948,909","23,902,753","104,712,753","53,804,217","14,712,197","4,115,000",0,"20,342",0,
24th/Michigan,2015,1999,2022,72,"1,284,525","11,233,434","16,528,924","121,241,677","22,901,623","9,643,201",0,0,"31,762",0,
24th/Michigan,2016,1999,2022,72,"1,680,732","12,914,166","11,310,000","132,551,677","10,687,830","11,885,717",0,0,"31,866",0,
24th/Michigan,2017,1999,2022,72,"1,706,116","14,620,282","4,310,000","136,861,677","5,075,582","12,951,133",0,0,"28,382",0,
24th/Michigan,2018,1999,2022,72,"3,391,228","18,011,510",0,"136,861,677","887,746","15,544,540",0,0,0,0,
24th/Michigan,2019,1999,2022,72,"3,944,907","21,956,417","17,000,000","153,861,677","538,021","37,139,951",0,0,"45,859",0,
24th/Michigan,2020,1999,2023,72,"5,471,255","27,427,672",0,"153,861,677","2,759,907","41,255,001",0,0,"60,598",0,
24th/Michigan,2021,1999,2023,72,"5,417,112","32,844,784",0,"153,861,677","9,901,739","26,031,623",0,"10,563,973","68,793",0,
