tif_name,tif_number,2020_property_tax_extrction,cumulative_property_tax_extraction,2020_transfers_in,cumulative_transfers_in,2020_expenses,fund_balance_end_2020,2020_transfers_out,2020_distribution,admin_costs,finance_costs,bank
105th/Vincennes,111,759998,7527617,0,2320284,18832,3513385,0,0,18832,0,
107th/Halsted,176,290089,2257741,0,1000000,62438,3130985,0,0,18658,0,
111th/Kedzie,73,917466,10451172,0,0,455422,1801200,0,0,27343,0,
116th/Avenue O,182,15433,31449,0,0,6408,24375,0,0,6408,0,
119th/Halsted,114,926794,12285008,0,97500,327048,5445745,0,0,22351,0,
119th/I-57,125,2767737,34044556,0,950000,1896763,8939348,0,0,40997,0,
24th/Michigan,72,5471255,27427672,0,153861677,2759907,41255001,0,0,68845,0,
26th/King Drive,141,937975,9190072,0,0,14383,3385517,0,0,14383,0,
35th/Halsted,1,10846352,92110862,0,3243618,2835033,38919509,5300000,0,144267,0,
35th/State,131,2172892,21739798,0,3500000,1642016,3144881,0,0,31025,0,
35th/Wallace,79,1490721,12261098,4500000,4500000,359629,12659147,0,0,21553,0,
43rd/Cottage Grove ,55,3998062,44332176,0,0,6939239,11304024,0,0,49874,0,
47th/Ashland,117,3064130,39813167,0,2431313,5210650,9276724,0,0,49204,4518252.1,Amalgamated Bank of Chicago
47th/Halsted,121,3168365,45170531,0,3950064,553581,15975740,0,1086000,48927,0,
47th/King Drive,118,10276080,112421514,0,0,267248,36405678,3600000,0,125449,0,
47th/State,136,1933398,22445944,0,0,359355,14853747,0,201000,63830,0,
49th/St. Lawrence,4,574745,7612723,0,0,198658,0,0,2296001,9728,0,
51st/Archer,97,2235535,12404247,1745000,48363194,3133588,5087838,0,0,24792,2826494.9,Amalgamated Bank of Chicago
51st/Lake Park,175,1270706,3910955,0,0,1197475,1425753,0,0,19129,0,
53rd Street,105,6606612,36405867,0,0,8942748,8157334,0,0,112411,0,
60th/Western,5,218182,6156470,0,0,8990,0,500000,519264,6066,0,
63rd/Ashland,143,822149,9726508,500000,5400000,71656,5052905,0,0,14729,0,
63rd/Pulaski,98,2233686,33791309,0,0,200454,4699806,1745000,67000,200454,0,
67th/Cicero,124,462981,4145661,0,3284023,205328,1102463,0,0,8174,0,
67th/Wentworth,174,0,0,0,1175000,34459,1067582,0,0,5191,0,
71st/Stony Island,60,3771025,52329704,0,65288397,3072127,8513871,0,0,61924,0,
73rd/University,145,548107,5645059,0,0,14053,2043752,0,0,9253,0,
79th Street Corridor,56,1102033,14152808,0,0,1167533,6747829,0,0,16075,0,
79th/Cicero,140,543366,6542244,0,0,573950,1010162,0,0,10407,0,
79th/Southwest Highway,112,2076888,21747559,0,0,157373,8528310,0,944000,50115,0,
79th/Vincennes,155,325229,3466944,0,1000000,157966,3623682,0,0,7697,0,
83rd/Stewart,133,1509132,10806798,0,0,1152773,1740122,0,0,21816,0,
87th/Cottage Grove,127,2419192,30501213,0,1375000,405397,6641664,0,0,36771,0,
95th/Western,9,1528560,17216330,0,2400000,3209545,1955761,0,0,41253,0,
Addison South,150,5859382,39859027,0,0,965270,12748969,0,0,83886,0,
Archer Courts,67,432004,6328086,0,2235487,117147,2221173,0,325000,8393,0,
Archer/Central,99,723223,10445578,0,240000,12467,2790045,0,27000,12467,0,
Archer/Western,163,1129353,3328056,800000,2200000,3614687,1319938,0,0,15849,0,
Armitage/Pulaski,151,201353,2294516,0,0,28633,1161154,0,0,20268,0,
Austin Commercial,156,1342679,12916283,0,235000,426350,6243133,0,0,19253,0,
Avalon Park/South Shore,123,600214,8990241,0,0,1075308,2603203,0,0,10011,0,
Avondale,167,197020,958161,0,2900000,346992,1414399,0,0,5318,0,
Belmont/Central,81,5606327,55911018,0,938,1605136,23226421,0,0,145877,0,
Belmont/Cicero,82,1463926,19815049,0,0,32006,5914128,0,828000,22964,0,
Bronzeville,61,5553632,66569459,3600000,10400000,4280179,34522353,0,0,68418,0,
Bryn Mawr/Broadway,13,2857000,33021314,25592920,30277867,26409499,5887656,0,2584889,41061,0,
Canal/Congress,63,40184303,372989589,0,10966931,5658501,76742941,0,3822000,510986,0,
Central West,86,32258151,277468670,0,70617714,5591050,55140132,0,36992000,427294,0,
Chicago/Central Park,115,5942113,87333860,10660335,111943749,16692783,28070792,0,0,80126,15182980.1,Amalgamated Bank of Chicago
Chicago/Kingsbury,94,34026128,304461585,0,0,766976,29182089,0,45000000,416347,0,
Cicero/Archer,96,866552,12847126,0,0,14460,6664700,0,0,14460,0,
Clark/Montrose,70,4174953,43456867,0,2000000,355904,11593906,0,5217000,72766,0,
Clark/Ridge,74,3094191,34795645,0,3000000,1922752,9880585,0,1521000,65422,0,
Commercial Avenue,128,1514333,22383248,0,0,798847,11520594,0,0,24991,0,
Cortland/Chicago River,183,3639892,3639892,100000,100000,92083,3727526,0,0,41976,0,
Devon/Sheridan,134,2114889,10049085,2870497,6006497,4301270,3880728,0,0,48137,0,
Devon/Western,76,3514693,44015840,1800000,5140000,164894,5164721,3713311,0,113740,0,
Diversey/Chicago River ,179,348871,448038,0,526000,7289,656717,0,0,7289,0,
Diversey/Narragansett,129,2890197,32354249,0,0,2122351,5417126,0,0,36216,0,
Division/Homan,107,2057966,20387544,0,0,206617,9898971,0,0,35751,0,
Edgewater/Ashland,130,720752,8820067,0,1400000,711345,6372473,0,0,11345,0,
Elston/Armstrong Industrial Corridor,153,823733,5297477,0,0,246139,2756174,0,51000,23498,0,
Englewood Mall,21,844757,11937500,0,7545883,138895,5744682,0,0,11986,0,
Englewood Neighborhood,106,2487695,66575739,0,0,2846028,21769101,0,0,35358,0,
Ewing Avenue,169,271437,2158847,0,6508056,6575,1329707,0,0,6575,0,
Foster/California,177,-12947,694400,1100000,6744830,1125441,691907,0,0,2941,0,
Foster/Edens,181,512657,990491,0,0,9361,1006322,0,0,9361,0,
Fullerton/Milwaukee,87,12869784,116420246,0,52044,8644480,29909320,0,607000,161249,7347213.8,Amalgamated Bank of Chicago
Galewood/Armitage Industrial,71,5011961,47383417,6000000,26197449,13613324,11141753,0,0,76778,11242894.9,Amalgamated Bank of Chicago
Goose Island,23,7706793,78310203,0,10000000,4206746,14621158,100000,9183000,118321,0,
Greater Southwest Industrial (East),66,1196369,14469745,0,0,998845,4206805,0,0,35065,0,
Greater Southwest Industrial (West),92,647435,14227942,0,976540,36498,6869018,0,0,36498,0,
Harrison/Central,144,179244,4876759,288609,7925254,493228,1095121,0,0,5090,0,
Hollywood/Sheridan,157,689437,4083904,28011956,40088052,28153723,2286238,0,284000,16276,0,
Homan/Arthington ,24,595706,10749763,0,1062798,792818,2752888,0,111000,10419,0,
Humboldt Park Commercial,108,4844254,49203668,0,0,1061546,18629475,0,0,65706,0,
Irving/Cicero,27,955213,13834363,0,1291443,726354,0,1000000,2204111,0,0,
Jefferson Park,57,1423473,15580249,2500000,3353000,4039538,4828490,0,0,32377,0,
Jefferson/Roosevelt,101,8885157,86743773,0,12500000,1774268,12461964,0,7529000,119525,0,
Kennedy/Kimball,160,1012499,3149173,0,0,43569,2624733,0,0,15069,0,
Kinzie Industrial Corridor,52,62715635,424529633,0,0,11665311,169833503,10660335,0,920614,0,
Lake Calumet Area Industrial,103,4955653,53266358,0,4284000,1504362,17295939,0,0,117943,0,
